County,Total_Traffic_Fatalities_BAC_.08+_2020,Total_Traffic_Fatalities_2020
Anderson,3,7
Andrews,1,3
Angelina,3,10
Aransas,0,1
Archer,1,4
Armstrong,1,1
Atascosa,3,9
Austin,3,9
Bailey,2,2
Bandera,1,5
Bastrop,9,24
Baylor,1,3
Bee,2,5
Bell,20,48
Bexar,73,182
Blanco,3,4
Borden,0,2
Bosque,4,6
Bowie,4,16
Brazoria,14,41
Brazos,6,18
Brewster,1,2
Brooks,2,4
Brown,3,7
Burleson,3,6
Burnet,4,9
Caldwell,6,13
Calhoun,2,4
Callahan,1,6
Cameron,11,23
Camp,2,5
Carson,6,9
Cass,3,13
Castro,0,1
Chambers,2,8
Cherokee,6,12
Childress,0,1
Clay,1,5
Coke,0,1
Coleman,1,3
Collin,23,57
Colorado,2,9
Comal,7,20
Comanche,0,2
Concho,0,1
Cooke,1,5
Coryell,5,13
Crane,0,2
Crockett,1,8
Crosby,1,1
Culberson,2,3
Dallam,1,3
Dallas,124,305
Dawson,1,2
Deaf Smith,1,3
Denton,20,55
DeWitt,1,4
Dickens,0,1
Dimmit,3,6
Donley,1,2
Duval,0,1
Eastland,5,10
Ector,29,51
Ellis,19,43
El Paso,26,69
Erath,4,8
Falls,5,6
Fannin,3,9
Fayette,2,12
Fisher,1,1
Floyd,0,1
Fort Bend,14,30
Franklin,1,2
Freestone,3,11
Frio,1,6
Gaines,3,8
Galveston,14,38
Garza,1,2
Gillespie,0,5
Glasscock,0,1
Goliad,1,4
Gonzales,4,11
Gray,1,5
Grayson,6,22
Gregg,7,25
Grimes,3,9
Guadalupe,5,14
Hale,0,4
Hall,1,2
Hamilton,0,1
Hardeman,1,1
Hardin,3,10
Harris,173,457
Harrison,9,21
Hartley,1,3
Haskell,2,3
Hays,12,29
Henderson,8,15
Hidalgo,16,43
Hill,5,13
Hockley,0,3
Hood,3,9
Hopkins,3,8
Houston,3,8
Howard,4,13
Hudspeth,1,7
Hunt,5,24
Hutchinson,1,2
Jackson,4,7
Jasper,3,10
Jefferson,18,49
Jim Wells,2,4
Johnson,7,19
Jones,2,5
Karnes,0,3
Kaufman,7,29
Kendall,2,6
Kenedy,0,1
Kerr,4,10
Kimble,1,6
Kinney,1,2
Kleberg,2,4
Knox,2,4
Lamar,5,11
Lamb,1,2
Lampasas,0,4
La Salle,0,1
Lavaca,0,2
Lee,2,4
Leon,4,7
Liberty,6,21
Limestone,3,7
Lipscomb,1,1
Live Oak,1,5
Llano,2,3
Loving,1,2
Lubbock,19,38
Lynn,1,1
McCulloch,1,3
McLennan,10,31
Madison,2,6
Marion,2,5
Martin,1,6
Mason,1,2
Matagorda,2,9
Maverick,1,3
Medina,2,7
Menard,1,1
Midland,9,25
Milam,3,9
Mills,1,2
Mitchell,2,4
Montague,0,4
Montgomery,16,51
Moore,3,5
Morris,1,5
Motley,0,1
Nacogdoches,9,16
Navarro,3,12
Newton,1,6
Nolan,2,5
Nueces,13,36
Ochiltree,1,1
Oldham,1,5
Orange,10,29
Palo Pinto,5,11
Panola,1,9
Parker,6,18
Parmer,0,1
Pecos,1,4
Polk,5,13
Potter,10,20
Presidio,2,2
Rains,1,4
Randall,5,13
Reagan,1,1
Real,1,5
Red River,2,4
Reeves,2,10
Refugio,1,3
Robertson,1,6
Rockwall,3,6
Runnels,1,6
Rusk,7,16
Sabine,2,4
San Augustine,2,2
San Jacinto,3,8
San Patricio,6,13
Scurry,2,6
Shelby,3,5
Sherman,2,5
Smith,16,49
Somervell,0,1
Starr,2,3
Stephens,1,2
Sutton,1,2
Swisher,0,1
Tarrant,74,181
Taylor,7,19
Terrell,0,1
Terry,0,1
Throckmorton,0,1
Titus,4,7
Tom Green,9,15
Travis,53,126
Trinity,2,3
Tyler,3,6
Upshur,8,20
Upton,1,1
Uvalde,1,4
Val Verde,1,3
Van Zandt,6,16
Victoria,8,20
Walker,4,10
Waller,5,17
Ward,2,7
Washington,4,6
Webb,5,14
Wharton,5,14
Wheeler,1,1
Wichita,5,12
Wilbarger,1,2
Willacy,0,1
Williamson,16,39
Wilson,6,15
Winkler,4,7
Wise,5,11
Wood,4,11
Young,1,3
Zavala,1,2