"","County Code","Population","ACS5Y2020_Hispanic_Percent","ACS5Y2020_Poverty_Percent","ACS5Y2020_GINI_Index","ACS5Y2020_Highschool_Percent","ACS5Y2020_GED_Percent","ACS5Y2020_Bachelors_Percent","ACS5Y2020_Masters_Percent","ACS5Y2020_Professional_Percent","ACS5Y2020_Doctorate_Percent","ACS5Y2020_SNAP_Percent","ACS5Y2020_Unemployment_Percent","ACS5Y2020_Median Household Income"
"Galveston County, Texas","167",347084,0.254857613718869,0.107928817774441,0.4544,0.193080648683833,0.0503556455791606,0.221780668810675,0.0746448897091885,0.0192061459667093,0.0166924318792047,0.11126276757888,0.0571952537539954,79328
"Garza County, Texas","169",5734,0.498604813393791,0.1376574895007,0.3758,0.232694106641721,0.0912067352666043,0.0703928905519177,0.0427970065481759,0.00140318054256314,0.00187090739008419,0.121407624633431,0.069206008583691,64871
"Gillespie County, Texas","171",26730,0.242162364384587,0.111947354487349,0.4788,0.2301152368758,0.0334955185659411,0.231856594110115,0.0885531370038412,0.0180281690140845,0.0138284250960307,0.0365015618027666,0.0472292191435768,64438
"Glasscock County, Texas","173",1221,0.441441441441441,0.124488124488124,0.478,0.168471720818291,0.0144404332129964,0.235860409145608,0.0613718411552347,0.0108303249097473,0,0.0984682713347921,0,85417
"Goliad County, Texas","175",7085,0.361750176429076,0.10769890015712,0.5013,0.248866995073892,0.0386206896551724,0.138916256157635,0.0364532019704433,0.0025615763546798,0.00354679802955665,0.135529764133283,0.0375816993464052,52335
"Gonzales County, Texas","177",19720,0.517951318458418,0.138634728076488,0.4755,0.376153244722439,0.0543393275996873,0.0930414386239249,0.0297107114933542,0.00523846755277561,0.00774042220484754,0.143143009605123,0.00791829240302961,55698
"Gray County, Texas","179",21398,0.300401906720254,0.162581823717461,0.4877,0.2484410430839,0.0834041950113379,0.110402494331066,0.0283446712018141,0.00552721088435374,0.00212585034013605,0.128029437888593,0.049645390070922,50635
"Grayson County, Texas","181",134205,0.141797995603741,0.119685577580314,0.4376,0.241952955741257,0.0589932351770792,0.143973559711721,0.0521289295662555,0.0111531149135606,0.0103019852323473,0.0995276454793124,0.0393849882602439,62078
"Gregg County, Texas","183",123744,0.193649793121283,0.172572599248815,0.4628,0.237218481831695,0.0442309854228862,0.146208326567321,0.0496396317623693,0.0111545523814282,0.00489651123574453,0.136172675440477,0.0372902211436579,56566
"Grimes County, Texas","185",28878,0.244511392755731,0.166600286761192,0.4707,0.245674395412615,0.0900523560209424,0.112440787833458,0.0513089005235602,0.00732984293193717,0.00473697332336076,0.132537754778752,0.0493155493155493,59086
"Guadalupe County, Texas","187",169477,0.387020067619795,0.0915315293822949,0.3945,0.259128218382097,0.0440792463928275,0.187341253219496,0.0794781074264529,0.00995481565321237,0.0103380359514112,0.0833176474614555,0.044287129430525,80047
"Hale County, Texas","189",32879,0.606344475196934,0.170294203509682,0.4385,0.240622683469236,0.0797627872498147,0.109809735606622,0.0457622930565851,0.00434890042006424,0.00721522115147023,0.167389340560072,0.0452083194007891,48649
"Hall County, Texas","191",2875,0.344695652173913,0.173375706214689,0.4896,0.265429001505268,0.0642247867536377,0.137982940291019,0.0526843953838435,0.00150526843953838,0.00100351229302559,0.106890459363958,0.0973782771535581,41467
"Hamilton County, Texas","193",8211,0.1362805991962,0.210179193628671,0.4938,0.29653107941539,0.0600457827082233,0.161648177496038,0.0394435640077478,0.0142630744849445,0.00105652403592182,0.104810996563574,0.0373719107896323,44030
"Hansford County, Texas","195",5332,0.485746436609152,0.0933232169954476,0.4101,0.223285978999382,0.0611488573193329,0.197652872143298,0.0302655960469426,0.00216182828906733,0.00679431747992588,0.0674603174603175,0.113457556935818,47500
"Hardeman County, Texas","197",3567,0.249229044014578,0.114607390300231,0.4126,0.334682314852286,0.0348037231889923,0.109672197490894,0.0327802509105625,0.0129502225819506,0.0028328611898017,0.11620294599018,0.0252233315817131,56400
"Hardin County, Texas","199",56124,0.0629855320362055,0.116367502883506,0.4282,0.333500131682908,0.060995522781143,0.142849618119568,0.0379773505398999,0.00210692652093758,0.0045298920200158,0.126993387786853,0.0424867102219697,65347
"Harris County, Texas","201",4697957,0.436341584224802,0.156231762266616,0.4968,0.190709646644894,0.0368621896483456,0.20560705753547,0.0826492730669374,0.0228779294565342,0.0141284243981643,0.130252402317029,0.0648463273147834,65788
"Harrison County, Texas","203",68674,0.136922270437138,0.17024305451494,0.465,0.273406516356625,0.0542737570937137,0.144919914984991,0.052520870308289,0.00784416836477574,0.00595981507044414,0.132270555280936,0.0661667685772214,57996
"Hartley County, Texas","205",5465,0.275754803293687,0.0561576354679803,0.367,0.227923038973853,0.127035027133695,0.139861864824864,0.0658608781450419,0.00345337937839171,0.0219536260483473,0.0651408450704225,0.00761904761904762,61196
"Haskell County, Texas","207",5420,0.287638376383764,0.123852314905255,0.5581,0.27776319243896,0.104751903386716,0.100026253609871,0.0735101076398005,0.000525072197427146,0.0028878970858493,0.192118226600985,0.0679898648648649,48432
"Hays County, Texas","209",234573,0.400429716975099,0.135817112332354,0.4496,0.189881144492935,0.0365968314553134,0.249849150330466,0.102598824074204,0.0155690891486466,0.018719391549612,0.0649639677829589,0.0560904077273742,71061
"Hemphill County, Texas","211",3450,0.354782608695652,0.0623536299765808,0.5042,0.323696890056943,0.0332895313184406,0.170827858081472,0.0407358738501971,0.00438020148926851,0.000876040297853701,0.0641672674837779,0.0624635143023935,54867
"Henderson County, Texas","213",81717,0.135871360916333,0.170012586140292,0.4862,0.274313436714892,0.0615957723295504,0.120471281296024,0.0501949233301568,0.00786623927921684,0.00353460972017673,0.135222438993188,0.0627764345108215,51963
"Hidalgo County, Texas","215",865677,0.924958154138322,0.281433264330541,0.4785,0.204422484982301,0.0382994715976053,0.136034510579282,0.0451542007683996,0.00758595474980034,0.00614188635774088,0.290410295495324,0.0776753584675857,44666
"Hill County, Texas","217",35686,0.215630779577425,0.123382424993515,0.4419,0.267166810150453,0.0767023326364121,0.121018324929283,0.0418152748739392,0.009510925265445,0.00110687492313369,0.113394157785785,0.0548091784567828,57800
"Hockley County, Texas","219",21670,0.493308721735118,0.158191550372778,0.4311,0.222574695684249,0.0418295831796385,0.116340833640723,0.0438214680929546,0.00560678716340834,0.00435263740317226,0.125141776937618,0.05817750074206,49241
"Hood County, Texas","221",60521,0.129244394507692,0.0862907674562445,0.4474,0.217434915424247,0.0637623672092281,0.203414945515889,0.0755254639128254,0.0119454702959012,0.0130853052478001,0.0555073362264931,0.0620951691695314,75851
"Hopkins County, Texas","223",36666,0.175448644520809,0.125155890585594,0.4511,0.290091847516866,0.0577095017475412,0.146671543525969,0.0484841095667723,0.00918475168658051,0.00520198325611639,0.0888985886803434,0.0451652523447968,57745
"Houston County, Texas","225",22288,0.118942928930366,0.18995232856619,0.4952,0.270123033604701,0.0957336108220603,0.100997735202302,0.0331150149966334,0.00648833935239028,0.0027544836873355,0.161838705290358,0.0445859872611465,43644
"Howard County, Texas","227",34620,0.439890236857308,0.159887522887784,0.4315,0.251108764519535,0.088363252375924,0.0922492080253432,0.0302428722280887,0.0100105596620908,0.00464625131995776,0.0892057701873653,0.0538368008646312,60260
"Hudspeth County, Texas","229",3322,0.776941601444913,0.278224101479915,0.4259,0.191118850674793,0.0383108402263822,0.0827165868524162,0.00174140182847192,0,0,0.360184119677791,0.0745098039215686,32404
"Hunt County, Texas","231",98783,0.178725084275634,0.135879338482168,0.4423,0.285736116629481,0.0644273969253339,0.143693266909135,0.0500015281640637,0.00881750664751368,0.00999419297655796,0.124063094305851,0.0542082136217678,61053
"Hutchinson County, Texas","233",20801,0.242440267294842,0.126076022826192,0.4129,0.247106227106227,0.0827838827838828,0.126739926739927,0.0334798534798535,0.00366300366300366,0.00183150183150183,0.0844354018311292,0.0734038226921513,57288
"Irion County, Texas","235",1555,0.263665594855305,0.14983922829582,0.4611,0.21421889616464,0.048643592142189,0.15622076707203,0.00841908325537886,0.0187090739008419,0,0.0620384047267356,0.068814055636896,39770
"Jack County, Texas","237",8494,0.174829291264422,0.154705803150666,0.4565,0.283269961977186,0.0990321465606637,0.0993778085032838,0.0342205323193916,0.00414794331144141,0.0100241963359834,0.133493479752917,0.0656534954407295,56916
"Jackson County, Texas","239",14971,0.337118428962661,0.125426039536469,0.3893,0.265299969852276,0.0652195759220179,0.119083509195056,0.0325595417545975,0.00160787860516531,0.00160787860516531,0.141416100872939,0.0429164743885556,60807
"Jasper County, Texas","241",33369,0.07075429290659,0.242041559885139,0.5102,0.383861171366594,0.0537960954446855,0.0793492407809111,0.0432104121475054,0.00438177874186551,0.0045119305856833,0.137601753287414,0.137178210780828,44356
"Jeff Davis County, Texas","243",2021,0.238990598713508,0.220304568527919,0.4838,0.160026126714566,0.0189418680600914,0.109079033311561,0.131286740692358,0,0.0320052253429131,0.191089108910891,0,38659
"Jefferson County, Texas","245",256755,0.219415396000078,0.181593507011364,0.4798,0.26855892635086,0.0517467914877642,0.129865559231365,0.0443677999108421,0.0100830576476385,0.00717369371905868,0.159890459402055,0.0560317417667553,53613
"Jim Hogg County, Texas","247",4864,0.932976973684211,0.300126103404792,0.4182,0.321442571540572,0.0431203449627597,0.097608780870247,0.0290082320658565,0.00548804390435124,0,0.267744202389318,0.0429874077290491,37342
"Jim Wells County, Texas","249",39203,0.804836364563936,0.212177454695435,0.4614,0.300543825975688,0.0744161868202175,0.120121561100448,0.0293905950095969,0.003478886756238,0.00323896353166987,0.173743669653292,0.043470229665661,47629
"Johnson County, Texas","251",177022,0.228033803708014,0.104083427710739,0.3988,0.286917710274299,0.0658924470251766,0.138397538674871,0.0530918230272566,0.00730597564674784,0.00596264679117736,0.0839858819666749,0.0328590510482606,70767
"Jones County, Texas","253",19721,0.281273769078647,0.124459285118009,0.4019,0.227927063339731,0.159720318069646,0.0975459281601316,0.018371264052646,0.00315327666575267,0.00233068275294763,0.137430939226519,0.0581009296148738,55575
"Karnes County, Texas","255",14823,0.562571679147271,0.182465896255105,0.5298,0.279225908372828,0.0911334913112164,0.113052922590837,0.0370260663507109,0.0084913112164297,0.000691153238546603,0.153689911983751,0.0334138486312399,49526
"Kaufman County, Texas","257",140145,0.236505048342788,0.100181202578708,0.4032,0.244102070293693,0.0533640872904793,0.15552395561577,0.0558161928541837,0.00463548723001646,0.0059231225716877,0.0992011084890342,0.0486695121779431,75187
"Kendall County, Texas","259",43842,0.247525204142147,0.048169690255274,0.4766,0.128862568649507,0.0177330774829617,0.296995963739827,0.135578640905181,0.0266327003242242,0.0159134519949712,0.0290265051349855,0.04222729177336,100706
"Kenedy County, Texas","261",169,0.982248520710059,0.0177514792899408,0.2493,0.0776699029126214,0.0679611650485437,0.0194174757281553,0.0194174757281553,0,0,0.229166666666667,0,42778
"Kent County, Texas","263",632,0.166139240506329,0.130360205831904,0.3649,0.20554272517321,0.0323325635103926,0.150115473441109,0.173210161662818,0,0.0046189376443418,0.0617283950617284,0.00467289719626168,63994
"Kerr County, Texas","265",52411,0.27942607467898,0.115932056776629,0.4598,0.240811186609649,0.0456751580659548,0.190335021119186,0.0724348715796101,0.0110974106041924,0.0175512238633681,0.0759087995604798,0.036675625387637,62204
"Kimble County, Texas","267",4295,0.254249126891735,0.138653483992467,0.5124,0.202366127023661,0.0853051058530511,0.173723536737235,0.0790784557907846,0.0165006226650062,0.0118306351183064,0.0751252086811352,0.0207086976530143,55677
"King County, Texas","269",229,0.349344978165939,0.292576419213974,0.4707,0.355421686746988,0,0.216867469879518,0.0180722891566265,0,0.0180722891566265,0.036144578313253,0.0485436893203883,42125
"Kinney County, Texas","271",3199,0.656767739918725,0.181543624161074,0.3765,0.22562219502244,0.0314157486740106,0.0889432884536924,0.0771113831089351,0.000815993472052224,0,0.19730510105871,0.0154241645244216,58925
"Kleberg County, Texas","273",31015,0.734515556988554,0.285953978906999,0.4748,0.247414433460945,0.0813667790411976,0.153534083766642,0.0583395234558025,0.00788526369921719,0.0100565681961031,0.188424604204516,0.0536680372213807,49986
"Knox County, Texas","275",3384,0.352245862884161,0.0976205003050641,0.4103,0.274945533769063,0.0366013071895425,0.0949891067538126,0.0479302832244009,0.00130718954248366,0.00522875816993464,0.0951239008792966,0.0360419397116645,50163
"La Salle County, Texas","283",6956,0.848044853364002,0.228732207878186,0.4203,0.369541603302194,0.081468607429937,0.0610471431674995,0.0162937214859874,0,0,0.105460385438972,0.0149025601834161,61042
"Lamar County, Texas","277",49932,0.0842145317631979,0.168582375478927,0.4601,0.281260966194877,0.0615861504269505,0.129868990525208,0.0475494209849105,0.0128085156158615,0.00470815300035092,0.126442548921224,0.0332443992715877,51561
"Lamb County, Texas","279",13147,0.56537613143683,0.182710135970334,0.4371,0.306644157723381,0.0528156276377668,0.0968286506692391,0.0208609670806704,0.00422042686603159,0.00458217774026287,0.134665508253692,0.030924191553278,50041
"Lampasas County, Texas","281",21443,0.200298465699762,0.0917897112762156,0.3904,0.234815689361144,0.0753640299094845,0.119637937819756,0.053587826315099,0.00662468844287026,0.00209891118982028,0.106205852674067,0.0665553700612131,66506
"Lavaca County, Texas","285",20287,0.197121309212796,0.0941744642318141,0.4454,0.365602176714879,0.0303594443648862,0.133180581412001,0.039739367034226,0.00508377488185594,0.000859229557496778,0.0805042436345482,0.0316250913265839,57602
"Lee County, Texas","287",17393,0.244178692577474,0.11763669466142,0.3986,0.366154846047607,0.0368023397514014,0.0987082622471362,0.0372085465919246,0.00406206840523194,0.002924689251767,0.128659726740403,0.0278388278388278,60750
"Leon County, Texas","289",15877,0.152799647288531,0.182905225863596,0.4983,0.314932450568131,0.0459872953386419,0.112373624407265,0.0555605260803436,0.00384718618591751,0.000357877784736512,0.0932203389830508,0.0629133979387786,48676
"Liberty County, Texas","291",89948,0.292646862631743,0.149567858821828,0.4374,0.308694213724773,0.0806387017012311,0.0737258179665326,0.0222013268557697,0.00229849030977381,0.000400494523672709,0.15851632476163,0.0809245272303935,53871
"Limestone County, Texas","293",22252,0.226811073161963,0.191284531671472,0.4401,0.280497280497281,0.0688293188293188,0.108715358715359,0.0394327894327894,0.00297850297850298,0.0056980056980057,0.147751339230098,0.0432572848430088,49507
"Lipscomb County, Texas","295",3138,0.337794773741236,0.113688337144724,0.4369,0.269899841855561,0.029520295202952,0.200316288877174,0.0363732208750659,0.0121244069583553,0.00579862941486558,0.0926573426573427,0.0587084148727984,66250
"Live Oak County, Texas","297",11378,0.407101423800316,0.189950857486711,0.4545,0.258622821115095,0.0590925948819384,0.0869081468661145,0.0354802818642601,0.00519223637037953,0.000247249350970454,0.114596836919886,0.0361207323107373,52870
"Llano County, Texas","299",21246,0.112962439988704,0.091479053861499,0.528,0.217904398617237,0.0457742281559185,0.211884610799857,0.0566217665991179,0.0305161521039456,0.00899988079628084,0.0776572668112798,0.0418572735590119,62839
"Loving County, Texas","301",83,0,0.0120481927710843,0.5695,0.173076923076923,0,0,0,0,0,0.0303030303030303,0,NA
"Lubbock County, Texas","303",308580,0.364352842050684,0.176936230779349,0.4847,0.208526661529465,0.0503828308166511,0.199793418916925,0.0802769716743451,0.0187890413654026,0.0224615939534045,0.11140315406389,0.0442364147211128,56529
"Lynn County, Texas","305",5587,0.463755145874351,0.158773362366177,0.4641,0.228287841191067,0.0570719602977667,0.165977391783843,0.0523848910945685,0.00716845878136201,0.00551419906258616,0.118821292775665,0.0325355272999252,49747
"Madison County, Texas","313",13579,0.240592090728331,0.125989152662932,0.4153,0.255237280889269,0.137451902522445,0.0809106455750321,0.0324925181701582,0.0029927319367251,0.00192389910218042,0.149560853199498,0.0728720146968769,59923
"Marion County, Texas","315",9748,0.045137464095199,0.182938192359457,0.4896,0.318930330752991,0.078676988036594,0.122589725545391,0.0280084447572132,0.000562983814215341,0.00225193525686137,0.216798810703667,0.116679516833719,43153
"Martin County, Texas","317",5213,0.46288125839248,0.133075435203095,0.4632,0.26038961038961,0.0733766233766234,0.116883116883117,0.0785714285714286,0.0133116883116883,0.0012987012987013,0.113490364025696,0.0573432343234323,69194
"Mason County, Texas","319",3948,0.197821681864235,0.0487309644670051,0.4535,0.178046989720999,0.026431718061674,0.262481644640235,0.0502936857562408,0.0201908957415565,0.0165198237885463,0.0516778523489933,0.0348970251716247,73186
"Matagorda County, Texas","321",36323,0.438014481182722,0.200311639166365,0.4722,0.235029814394894,0.0614344503233392,0.125934324347023,0.0639959687578735,0.00634080792810952,0.00159570000839842,0.162940230892883,0.063030303030303,48566
"Maverick County, Texas","323",57769,0.951357994772283,0.250425628018484,0.4558,0.198738935370438,0.0645083060506851,0.12404510731175,0.0277070449860555,0.0079725960955499,0.000242512428761974,0.259299039005088,0.0700441454698339,44502
"McCulloch County, Texas","307",7676,0.329468473163106,0.158717434869739,0.4267,0.271089873185076,0.0589965079948539,0.0849108619739019,0.0538503951479507,0.00073515897812902,0.00073515897812902,0.0968769917144678,0.0766531713900135,46552
"McLennan County, Texas","309",258031,0.270161337203669,0.178075786707297,0.4765,0.220809248554913,0.0483452963221749,0.165559296195134,0.0681636282792352,0.0150225497046306,0.0140888013720384,0.126526105696754,0.0469633993785562,53723
"McMullen County, Texas","311",729,0.643347050754458,0.122085048010974,0.4969,0.413721413721414,0.051975051975052,0.0893970893970894,0.0644490644490645,0,0,0.10752688172043,0.0337837837837838,63056
"Medina County, Texas","325",50458,0.528122398826747,0.11939214017314,0.4412,0.256545732065281,0.0639603146647881,0.133791241047317,0.0808383233532934,0.00760244217447458,0.00366913232358812,0.101521025946913,0.0302575202084898,67180
"Menard County, Texas","327",1981,0.354871277132761,0.189008731381613,0.4879,0.189028420356907,0.0654329147389293,0.152676801057502,0.0746860541969597,0.0257766027759418,0.0185062789160608,0.0530973451327434,0.0858050847457627,40341
"Midland County, Texas","329",166964,0.463399295656549,0.110880333288927,0.4629,0.185230816617256,0.0571458822623494,0.202835637007662,0.0675605436414738,0.0117044623262619,0.00561159665806799,0.0581677321827859,0.0326961770623742,88210
"Milam County, Texas","331",24895,0.27133962643101,0.161585989606776,0.4724,0.344109621544667,0.0654881955154823,0.111757029303595,0.0372523431011982,0.00901649068691423,0.00403369320204057,0.127310061601643,0.0632866513029605,52810
"Mills County, Texas","333",4520,0.238938053097345,0.0847496554892053,0.4641,0.247784997046663,0.0614294152392203,0.166863555818074,0.04873006497342,0.0109273479031305,0.0209686946249262,0.109144542772861,0.0242814667988107,53483
"Mitchell County, Texas","335",8903,0.406829158710547,0.099106644332775,0.454,0.351097766935635,0.0818164758866579,0.0831300431600676,0.0135109776693564,0.00262713454681929,0,0.107617360496014,0.019941348973607,50144
