"County","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Anderson",58493,58394,58059,57960,57829,57639,57526,58175,57974,57735,57917,58133
"Andrews",14849,15386,16105,16779,17435,18072,17791,17603,18011,18705,18227,18184
"Angelina",86905,87297,87509,87312,87567,87829,87682,87572,86810,86715,87119,86584
"Aransas",23181,23216,23459,23889,24566,24800,25162,25392,23446,23510,24220,24149
"Archer",9118,8840,8816,8801,8844,8763,8781,8783,8700,8553,8754,8616
"Armstrong",1902,1936,1953,1940,1913,1901,1843,1867,1879,1887,1950,1980
"Atascosa",44965,45504,46438,47021,47715,48363,48720,49083,50322,51153,50194,48684
"Austin",28363,28604,28562,28679,28968,29471,29629,29722,29965,30032,29892,30132
"Bailey",7154,7175,7139,7124,6966,7223,7196,7066,7015,7000,6916,6968
"Bandera",20559,20541,20591,20557,20813,21144,21701,22327,22792,23112,22770,20839
"Bastrop",74371,75055,74749,75814,77737,80115,82591,84585,86595,88723,86839,94887
"Baylor",3708,3695,3590,3577,3566,3609,3638,3555,3573,3509,3560,3491
"Bee",31864,32318,32480,32810,32841,32617,32812,32592,32467,32565,32609,31191
"Bell",312849,315799,324963,327028,330149,336076,341094,347377,355397,362924,355700,364703
"Bexar",1722838,1755361,1788738,1821328,1858003,1894834,1927651,1956988,1981187,2003554,1978826,1990522
"Blanco",10498,10567,10616,10636,10805,11029,11301,11481,11648,11931,11733,11313
"Borden",646,632,613,646,665,655,657,670,647,654,653,550
"Bosque",18269,18259,18126,17863,17716,17864,18009,18295,18629,18685,18428,18275
"Bowie",92638,92808,93030,93374,93268,93050,93424,93458,93688,93245,93622,92957
"Brazoria",314428,319147,324224,329890,337570,345227,353155,361853,368887,374264,368062,368575
"Brazos",195666,197450,200260,204116,208975,216258,219739,223917,225781,229211,226370,231095
"Brewster",9258,9349,9259,9287,9150,9143,9211,9325,9272,9203,9231,9501
"Briscoe",1633,1659,1576,1562,1552,1514,1483,1514,1512,1546,1348,1266
"Brooks",7208,7216,7196,7259,7228,7190,7190,7132,7099,7093,7100,7100
"Brown",38076,38000,37808,37671,37553,37736,38039,37815,37820,37864,37805,38085
"Burleson",17237,17328,17433,17269,17387,17611,17848,18053,18335,18443,18237,17687
"Burnet",42762,43216,43377,43580,43954,44734,45817,46600,47344,48155,47548,48424
"Caldwell",38127,38470,38682,39201,39703,40419,41147,42328,43161,43664,42817,45286
"Calhoun",21313,21359,21575,21729,21812,21887,21948,21712,21504,21290,21470,20367
"Callahan",13512,13511,13488,13502,13505,13589,13789,13968,13990,13943,13959,13781
"Cameron",407630,413201,415877,417357,419005,419450,421350,422227,422139,423163,422135,420554
"Camp",12398,12422,12487,12462,12657,12699,12771,12845,12983,13094,12938,12498
"Carson",6162,6238,6089,5988,6036,6013,6096,6005,6007,5926,5957,5856
"Cass",30457,30281,30031,30237,30123,30140,30058,29966,30106,30026,30002,28692
"Castro",8126,8094,8262,8120,7927,7787,7765,7696,7588,7530,7561,7450
"Chambers",35456,35699,36508,37367,38296,39028,40163,41269,42227,43837,42571,45257
"Cherokee",50941,51090,51277,51093,51189,51568,51879,52116,52381,52646,52341,50564
"Childress",7070,7027,7100,7055,7196,7169,7204,7269,7315,7306,7219,6784
"Clay",10737,10668,10523,10455,10377,10359,10251,10484,10448,10471,10444,10236
"Cochran",3147,3082,3028,3009,2945,2977,2921,2853,2831,2853,2860,2553
"Coke",3319,3266,3202,3180,3217,3227,3259,3285,3355,3387,3298,3288
"Coleman",8870,8743,8667,8526,8416,8316,8412,8399,8367,8175,8281,7848
"Collin",787614,812540,835230,856398,884688,915243,943742,971864,1004307,1034730,1006038,1039812
"Collingsworth",3054,3085,3024,3100,3016,3010,3007,2964,2942,2920,2939,2948
"Colorado",20872,20806,20724,20717,20696,20951,21081,21291,21305,21493,21357,20559
"Comal",109306,112113,114873,118627,123214,128795,134343,140721,148141,156209,148921,156257
"Comanche",13953,13867,13723,13554,13472,13395,13543,13533,13540,13635,13597,13540
"Concho",4102,4124,4085,4122,4089,4072,4140,2707,2683,2726,3018,3181
"Cooke",38472,38443,38717,38456,38764,39170,39343,39932,40504,41257,40428,41215
"Coryell",75651,76625,78458,76761,76166,76145,74803,74760,74741,75951,75576,81692
"Cottle",1512,1507,1485,1442,1429,1439,1402,1375,1382,1398,1624,1560
"Crane",4382,4358,4525,4718,4897,4995,4779,4685,4755,4797,4739,4654
"Crockett",3701,3652,3705,3763,3790,3735,3642,3535,3439,3464,3393,2939
"Crosby",6026,6044,6036,5924,5825,5918,5911,5849,5764,5737,5753,5265
"Culberson",2403,2393,2316,2306,2282,2254,2220,2230,2194,2171,2183,2209
"Dallam",6747,6888,7059,7110,7214,7301,7357,7272,7303,7287,7272,7135
"Dallas",2372993,2408697,2455930,2484486,2519410,2557830,2591488,2620154,2629350,2635516,2622634,2604722
"Dawson",13826,13747,13611,13219,13445,12987,12999,12744,12605,12728,12849,12371
"Deaf Smith",19467,19522,19373,19180,19123,18825,18846,18753,18711,18546,18617,18675
"Delta",5242,5147,5242,5120,5142,5159,5147,5276,5332,5331,5277,5251
"Denton",666760,685740,707892,728624,753188,779584,808212,835364,858741,887207,861690,885012
"DeWitt",20054,20205,20358,20377,20518,20632,20623,20180,20106,20160,20217,19834
"Dickens",2447,2401,2322,2297,2215,2204,2193,2190,2218,2211,2182,1569
"Dimmit",10043,10109,10471,10894,10987,10910,10679,10282,10195,10124,10232,8840
"Donley",3734,3686,3645,3561,3483,3391,3387,3340,3315,3278,3317,3266
"Duval",11724,11796,11582,11581,11509,11336,11431,11270,11147,11157,11194,10001
"Eastland",18594,18582,18459,18279,18257,18152,18240,18294,18319,18360,18289,17785
"Ector",137075,139642,144495,149656,154588,159903,157858,156951,161960,166223,162067,161258
"Edwards",1999,1979,1990,1899,1904,1910,1908,1929,1908,1932,1944,1366
"Ellis",150367,152373,153739,155928,159204,163292,168332,173405,179006,184826,836915,187984
"El Paso",803576,819896,832310,830864,833783,831898,834949,837401,836825,839238,179484,860485
"Erath",37912,38922,39405,39886,40514,41191,41372,41723,42223,42698,42226,42288
"Falls",17891,17848,17570,17242,17210,17216,17276,17340,17231,17297,17281,17074
"Fannin",33920,33878,33601,33510,33593,33502,33933,34550,35185,35514,35046,35453
"Fayette",24556,24749,24661,24721,24782,24945,25018,25119,25278,25346,25247,24445
"Fisher",3959,3947,3838,3859,3874,3877,3877,3874,3821,3830,3827,3720
"Floyd",6403,6368,6348,6245,5947,5843,5847,5830,5783,5712,5782,5478
"Foard",1344,1361,1310,1286,1275,1225,1200,1202,1191,1155,1207,1087
"Fort Bend",590253,606064,624824,651847,684048,715331,744160,767712,788081,811688,790892,806497
"Franklin",10607,10562,10637,10615,10563,10603,10677,10798,10778,10725,10767,10413
"Freestone",19803,19602,19484,19597,19677,19746,19669,19649,19789,19717,19744,19478
"Frio",17256,17492,17931,18400,18938,19361,19584,19895,20211,20306,20013,18428
"Gaines",17588,17908,18307,18807,19335,20217,20446,20553,20820,21492,21077,21167
"Galveston",292484,295605,301049,306589,313367,320974,328820,334633,337858,342139,337600,347084
"Garza",6467,6560,6418,6371,6417,6391,6212,6490,6243,6229,6028,5734
"Gillespie",24874,25039,25175,25363,25473,25916,26206,26483,26702,26988,26668,26730
"Glasscock",1232,1238,1280,1271,1328,1380,1365,1363,1391,1409,1447,1221
"Goliad",7219,7208,7331,7452,7506,7513,7512,7552,7588,7658,7578,7085
"Gonzales",19797,19755,19930,20143,20347,20510,20787,20742,20781,20837,20828,19720
"Gray",22470,22661,22920,22996,23432,23265,22741,22106,22051,21886,22063,21398
"Grayson",121034,121430,121854,122362,123599,125628,128291,131152,133787,136212,133527,134205
"Gregg",121984,122656,123089,123233,123146,123800,123367,122852,123251,123945,123633,123744
"Grimes",26616,26655,26679,26792,26997,27299,27494,27955,28291,28880,28447,28878
"Guadalupe",132587,135809,139641,142881,146811,150578,154492,159639,163276,166847,163030,169477
"Hale",36269,36381,36258,35676,34451,34034,34107,33954,33631,33406,33463,32879
"Hall",3359,3312,3268,3164,3075,3094,3113,3042,3025,2964,3025,2875
"Hamilton",8465,8389,8249,8241,8160,8080,8237,8407,8477,8461,8434,8211
"Hansford",5599,5580,5534,5547,5561,5654,5592,5485,5470,5399,5431,5332
"Hardeman",4159,4159,4097,4065,3990,3920,3982,3959,3929,3933,3958,3567
"Hardin",54784,55070,55122,55305,55510,55758,56242,57117,57107,57602,57356,56124
"Harris",4107666,4179568,4263094,4353187,4455994,4557846,4623960,4657972,4680045,4713325,4680609,4697957
"Harrison",65765,66338,66256,66267,66581,66685,66611,66468,66584,66553,66547,68674
"Hartley",6064,6031,6090,5999,6055,5702,5740,5716,5611,5576,5588,5465
"Haskell",5879,5959,5885,5901,5811,5821,5751,5699,5699,5658,5711,5420
"Hays",158214,163270,168519,176035,184854,194662,204546,214726,222706,230191,222827,234573
"Hemphill",3795,3956,4093,4153,4165,4277,4101,3929,3845,3819,3901,3450
"Henderson",78665,78837,78992,78669,79324,79492,80062,80954,82103,82737,81969,81717
"Hidalgo",779149,795517,808334,818619,829819,839667,848960,856249,862298,868707,861137,865677
"Hill",35144,35200,35157,34851,34767,34828,35102,35703,36165,36649,36109,35686
"Hockley",22853,22931,23074,23408,23463,23310,23043,22977,22971,23021,22986,21670
"Hood",51268,51563,52129,52860,53812,55227,56569,57973,60177,61643,60025,60521
"Hopkins",35208,35259,35312,35299,35686,35973,36184,36451,36738,37084,36708,36666
"Houston",23682,23434,23213,22809,22809,22747,22897,23089,23068,22968,22942,22288
"Howard",34993,34990,35495,36185,36542,37123,36214,35817,35925,36664,36213,34620
"Hudspeth",3472,3412,3357,3339,3306,3541,4254,4604,4788,4886,4687,3322
"Hunt",86365,86687,86979,87429,88639,89670,91895,94046,96606,98594,96202,98783
"Hutchinson",22214,22024,22022,21921,21915,21793,21528,21343,21119,20938,21105,20801
"Irion",1607,1592,1573,1610,1574,1543,1562,1512,1516,1536,1553,1555
"Jack",9004,9030,8992,8951,8880,8883,8789,8828,8825,8935,8888,8494
"Jackson",14091,14048,14271,14610,14723,14808,14873,14806,14834,14760,14822,14971
"Jasper",35777,36204,35854,35617,35424,35266,35417,35549,35769,35529,35562,33369
"Jeff Davis",2344,2282,2296,2231,2217,2199,2231,2260,2243,2274,2245,2021
"Jefferson",252455,253494,251605,253079,252897,255112,255748,256041,253234,251565,253136,256755
"Jim Hogg",5287,5289,5277,5263,5328,5296,5257,5212,5192,5200,5187,4864
"Jim Wells",40894,41224,41651,41681,41504,41523,41181,40920,40756,40482,40796,39203
"Johnson",151264,152094,153415,154535,156733,159345,162763,167012,171121,175817,171359,177022
"Jones",20238,20270,19870,20044,19850,19966,19971,19827,19866,20083,19874,19721
"Karnes",14889,14959,14859,14727,14910,15413,15494,15556,15660,15601,15547,14823
"Kaufman",103872,105199,106553,108248,110872,114055,117904,122628,128279,136154,129792,140145
"Kendall",33589,34421,35551,37133,38363,39938,41903,43969,45603,47431,45491,43842
"Kenedy",417,438,447,438,437,441,436,427,437,404,391,169
"Kent",812,813,825,782,748,747,748,759,726,762,704,632
"Kerr",49643,49641,49719,49787,50343,50880,51426,51892,52415,52600,52195,52411
"Kimble",4601,4594,4525,4461,4464,4391,4413,4385,4338,4337,4375,4295
"King",288,258,270,273,263,282,292,289,276,272,279,229
"Kinney",3590,3607,3639,3632,3554,3589,3636,3711,3692,3667,3674,3199
"Kleberg",32037,32029,32097,32021,31891,31413,31304,30752,30722,30680,30725,31015
"Knox",3723,3722,3730,3722,3801,3792,3732,3674,3662,3664,3679,3384
"Lamar",49820,49861,49656,49092,49411,49373,49528,49568,49729,49859,7551,49932
"Lamb",13993,14059,13863,13663,13484,13259,13195,13165,13103,12893,49705,13147
"Lampasas",19762,19924,20054,20142,20106,20362,20524,20861,21134,21428,13018,21443
"La Salle",6913,7002,7157,7444,7481,7637,7596,7530,7493,7520,21152,6956
"Lavaca",19256,19311,19528,19631,19779,19919,19891,20028,20114,20154,20072,20287
"Lee",16591,16556,16505,16545,16621,16868,16975,17109,17097,17239,17174,17393
"Leon",16723,16829,16741,16620,16730,17028,17200,17235,17260,17404,17325,15877
"Liberty",75859,75990,76370,76849,78045,79537,81354,83597,85802,88219,86173,89948
"Limestone",23492,23591,23686,23440,23529,23442,23472,23391,23343,23437,23364,22252
"Lipscomb",3283,3334,3447,3490,3553,3559,3494,3364,3342,3233,3301,3138
"Live Oak",11556,11507,11655,11817,12057,12173,12023,12146,12148,12207,12175,11378
"Llano",19336,19073,19266,19509,19666,20081,20592,21167,21600,21795,21452,21246
"Loving",84,95,86,106,89,119,117,133,148,169,117,83
"Lubbock",280301,283408,285961,289515,294433,298337,302094,305413,307627,310569,308392,308580
"Lynn",5914,5886,5796,5728,5798,5746,5775,5832,5848,5951,5886,5587
"McCulloch",8231,8254,8241,8243,8152,8255,8124,7941,7982,7984,14329,7676
"McLennan",235917,237852,239368,241443,243166,245444,247553,251631,254196,256623,9987,258031
"McMullen",711,697,730,760,799,828,806,765,731,743,5676,729
"Madison",13739,13753,13746,13820,13871,13968,14120,14251,14363,14284,4248,13579
"Marion",10485,10475,10374,10277,10149,10136,10125,10057,9915,9854,36791,9748
"Martin",4809,4884,4980,5272,5462,5646,5616,5531,5681,5771,58098,5213
"Mason",4010,4033,4056,4120,4095,4057,4161,4179,4259,4274,7970,3948
"Matagorda",36709,36681,36544,36500,36478,36766,37088,36805,36566,36643,254045,36323
"Maverick",54432,55260,55765,56532,57115,57720,58041,58111,58276,58722,724,57769
"Medina",46114,46507,46796,47238,47830,48402,49254,50183,50862,51584,50869,50458
"Menard",2230,2214,2204,2137,2128,2134,2091,2110,2120,2138,2108,1981
"Midland",136974,140224,147332,152356,156725,162328,163850,165318,172505,176832,171238,166964
"Milam",24681,24607,24114,24090,24143,24362,24680,24939,25045,24823,24797,24895
"Mills",4968,4883,4832,4872,4872,4889,4884,4917,4883,4873,4877,4520
"Mitchell",9412,9396,9329,8999,9070,8856,8474,8215,8525,8545,8256,8903
"Montague",19718,19759,19477,19387,19365,19252,19390,19399,19584,19818,19640,19850
"Montgomery",459208,471415,484565,498392,517146,535753,555216,571615,589770,607391,590188,607999
"Moore",22005,22070,22430,22146,21986,21725,21641,21604,21083,20940,21169,21494
"Morris",12919,12770,12703,12680,12606,12370,12429,12375,12303,12388,12357,11988
"Motley",1205,1200,1197,1192,1149,1146,1170,1226,1232,1200,1362,1269
"Nacogdoches",64685,65655,65866,65193,65240,65462,65549,65317,65161,65204,65080,64822
"Navarro",47869,48074,48163,48036,47913,48181,48405,48739,49536,50113,49475,51908
"Newton",14448,14563,14434,14341,14292,14158,14160,13908,13751,13595,13788,12532
"Nolan",15244,15143,14932,15068,15126,15111,15044,14854,14799,14714,14901,14727
"Nueces",340245,343263,347939,352946,356657,360504,361642,361235,362026,362294,362151,353594
"Ochiltree",10171,10444,10612,10704,10715,10698,10257,9996,9866,9836,9907,10063
"Oldham",2050,2072,2046,2088,2069,2064,2074,2104,2118,2112,2110,2251
"Orange",82012,82341,82887,82811,83244,83955,84549,84971,83474,83396,83776,85045
"Palo Pinto",28095,28062,27867,27886,28041,27966,28125,28544,28874,29189,28792,28303
"Panola",23772,24007,24001,23790,23750,23667,23419,23211,23142,23194,23186,22583
"Parker",117316,118320,119482,119785,122147,125640,128967,133501,138070,142878,138447,144803
"Parmer",10265,10276,10184,9986,9952,9794,9762,9710,9719,9605,9639,9874
"Pecos",15523,15643,15568,15660,15828,16030,15881,15634,15709,15823,15725,15202
"Polk",45446,45580,45510,45522,45813,46613,47656,48990,49955,51353,50155,49372
"Potter",121371,122305,122739,122127,122061,121272,120632,120340,118711,117415,118323,119043
"Presidio",7875,7754,7619,7386,7194,7057,7156,7100,6856,6704,6808,6328
"Rains",10913,11003,10939,11033,11013,11136,11304,11730,12147,12514,12001,12013
"Randall",121179,123424,124975,126753,128733,130368,132342,134015,135691,137713,136005,139176
"Reagan",3353,3393,3477,3633,3785,3807,3726,3712,3736,3849,3766,3363
"Real",3322,3431,3352,3318,3347,3297,3399,3417,3477,3452,3429,2852
"Red River",12874,12682,12723,12487,12445,12345,12179,12164,12143,12023,12115,11685
"Reeves",13834,14098,14265,14494,15124,15574,15229,15166,15513,15976,15546,14584
"Refugio",7375,7321,7256,7279,7362,7326,7272,7180,7000,6948,7015,6822
"Roberts",924,926,942,919,914,910,910,941,898,854,784,724
"Robertson",16555,16657,16455,16431,16468,16698,16804,17153,17219,17074,17094,16839
"Rockwall",78919,81045,82710,84670,87064,90170,93421,96824,100546,104915,101175,105227
"Runnels",10508,10500,10335,10196,10294,10387,10276,10282,10178,10264,10280,9887
"Rusk",53361,53702,53793,53332,53212,52965,52892,54213,54301,54406,53988,52542
"Sabine",10871,10727,10524,10424,10428,10440,10381,10417,10576,10542,10470,9974
"San Augustine",8854,8799,8789,8663,8481,8349,8288,8302,8254,8237,8260,7964
"San Jacinto",26474,26780,26942,26731,27049,27361,27732,28231,28717,28859,28574,27380
"San Patricio",64431,64458,65260,66134,66656,67117,67311,67210,66671,66730,66969,68600
"San Saba",6134,6047,5990,5960,5858,5922,5922,5996,6060,6055,6004,5775
"Schleicher",3503,3310,3259,3191,3164,3195,3057,2989,2880,2793,2898,2547
"Scurry",16928,16868,17125,17272,17377,17570,17394,17003,16812,16703,16918,16985
"Shackelford",3383,3334,3361,3375,3316,3333,3337,3289,3256,3265,3291,3145
"Shelby",25458,25733,26062,25977,25607,25373,25566,25225,25307,25274,25263,24254
"Sherman",3025,3014,3039,3070,3065,3058,3070,3046,3101,3022,3046,2357
"Smith",210408,212764,214811,216475,219642,222390,225161,227195,229749,232751,230184,231429
"Somervell",8500,8426,8554,8566,8559,8618,8671,8855,9030,9128,8958,9170
"Starr",61134,61642,61970,62381,62965,63484,63894,64130,64249,64633,64032,65568
"Stephens",9620,9536,9614,9371,9342,9385,9377,9287,9405,9366,9358,9142
"Sterling",1137,1170,1191,1229,1340,1333,1339,1287,1304,1291,1274,1391
"Stonewall",1496,1463,1452,1418,1388,1398,1401,1376,1352,1350,1412,1358
"Sutton",4062,3987,3916,3982,3969,3915,3886,3792,3752,3776,3793,3417
"Swisher",7918,7804,7845,7720,7554,7477,7428,7446,7413,7397,7403,7055
"Tarrant",1817480,1847882,1882205,1912767,1946122,1984880,2023556,2056451,2081446,2102515,2077153,2091953
"Taylor",131835,132853,134084,133927,134987,136133,136257,136634,137294,138034,137521,141739
"Terrell",1011,950,921,891,910,867,818,814,810,776,903,979
"Terry",12682,12661,12632,12713,12795,12759,12770,12429,12344,12337,12408,11937
"Throckmorton",1639,1637,1610,1606,1613,1559,1537,1510,1504,1501,1500,1426
"Titus",32419,32452,32612,32587,32502,32626,32463,32619,32743,32750,32709,31327
"Tom Green",110678,111751,113307,114680,116319,117514,117634,117566,118014,119200,118645,119048
"Travis",1030503,1061709,1096886,1122248,1152260,1179805,1206110,1227585,1246572,1273954,1250884,1267795
"Trinity",14729,14686,14372,14445,14298,14539,14543,14677,14688,14651,14689,13695
"Tyler",21764,21674,21504,21508,21468,21370,21423,21517,21609,21672,21524,20032
"Upshur",39377,39731,39918,39757,40280,40317,40771,41069,41179,41753,41386,40781
"Upton",3338,3284,3263,3386,3482,3652,3690,3658,3637,3657,3651,3340
"Uvalde",26443,26588,26746,26904,27022,26949,27081,27043,26787,26741,26899,24918
"Val Verde",48971,48972,48976,49044,48845,48891,48911,49028,48988,49025,49018,47767
"Van Zandt",52579,52487,52207,52328,52781,53430,54367,55163,55966,56590,55970,58782
"Victoria",86883,87557,89116,90066,91042,92136,92402,92045,91878,92084,92044,91280
"Walker",68241,68409,68609,69404,70076,70836,71845,72816,73136,72971,72295,76506
"Waller",43519,44101,44335,45408,46765,48641,50046,51717,53512,55246,53626,55505
"Ward",10594,10671,10823,11205,11571,11631,11571,11383,11709,11998,11745,11375
"Washington",33708,33966,33930,34201,34403,34836,34740,34861,35496,35882,35275,35561
"Webb",251370,255935,260595,264430,267465,269865,272301,273691,275120,276652,274847,266963
"Wharton",41281,41287,41136,41122,41095,41383,41609,41837,41499,41556,41672,41602
"Wheeler",5387,5446,5589,5716,5696,5658,5518,5300,5158,5056,5187,5091
"Wichita",131794,130803,131701,132192,132646,130961,131295,131689,131807,132230,132154,129419
"Wilbarger",13509,13452,13289,13204,12988,13055,12880,12683,12777,12769,12717,12887
"Willacy",22225,22167,22208,22019,21935,21863,21761,21508,21450,21358,21419,20423
"Williamson",426287,442031,455750,470017,487913,507133,527622,546251,566463,590551,570437,591759
"Wilson",43051,43667,44353,45217,46145,47178,48212,49211,50196,51070,50110,49374
"Winkler",7085,7165,7371,7635,7819,8027,7915,7605,7778,8010,7822,7629
"Wise",59115,59967,60424,61019,61702,62857,64478,65848,68284,69984,67884,67877
"Wood",41977,42092,42383,42346,42764,43117,43753,44263,45157,45539,45054,44615
"Yoakum",7851,7971,8055,8222,8398,8644,8652,8557,8590,8713,8612,7707
"Young",18522,18355,18278,18354,18274,18163,18098,17922,17986,18010,17961,17894
"Zapata",14087,14227,14276,14385,14376,14493,14446,14254,14149,14179,14243,13945
"Zavala",11729,11875,12014,12195,12243,12310,12121,11957,11969,11840,11930,9900
